t,x,y,z,speed_proxy
0.0,0.1,0.0,0.0,4.017989397071108e-08
0.01,0.10020020013339988,9.99002164748748e-06,-4.98670546835168e-09,4.0259976199568966e-08
0.02,0.10040080106773215,1.9960173027273453e-05,-1.989395122245355e-08,4.042054476872244e-08
0.03,0.10060180360539636,2.991058345251123e-05,-4.4643121230358525e-08,4.058176201926814e-08
0.04,0.10080320855039555,3.984138178138815e-05,-7.915651189606882e-08,4.0743630506992866e-08
0.05,0.10100501670833952,4.9752696419626076e-05,-1.2335732340437683e-07,4.0906152798371955e-08
0.06,0.10120722888644802,5.9644655322970395e-05,-1.7716965115416976e-07,4.1069331470612675e-08
0.07,0.10140984589355412,6.951738599966751e-05,-2.4051847727932703e-07,4.1233169111694966e-08
0.08,0.10161286854010738,7.937101551293096e-05,-3.1332966225634796e-07,4.1397668320404074e-08
0.09,0.1018162976381772,8.92056704833962e-05,-3.9552993659785595e-07,4.1562831706366095e-08
0.1,0.10202013400145604,9.90214770915642e-05,-4.87046892631134e-07,4.172866189009508e-08
0.11,0.10222437844526275,0.00010881856108023376,-5.878089763608547e-07,4.189516150303195e-08
0.12,0.10242903178654586,0.00011859704775692289,-6.97745479415177e-07,4.206233318756944e-08
0.13,0.10263409484388686,0.00012835706199627902,-8.167865310743881e-07,4.223017959709982e-08
0.14,0.10283956843750351,0.00013809872824247833,-9.448630903812811e-07,4.239870339606015e-08
0.15,0.10304545338925318,0.0001478221705116142,-1.081906938332462e-06,4.25679072599607e-08
0.16,0.10325175052263612,0.00015752751239407487,-1.2278506701497932e-06,4.273779387542765e-08
0.17,0.1034584606627988,0.00016721487705691034,-1.3826276876311828e-06,4.290836594024909e-08
0.18,0.10366558463653729,0.00017688438724618863,-1.5461721915799429e-06,4.307962616340679e-08
0.19,0.10387312327230049,0.00018653616528934144,-1.7184191743119434e-06,4.3251577265122566e-08
0.2,0.10408107740019358,0.00019617033309749928,-1.8993044122397972e-06,4.3424221976896287e-08
0.21,0.10428944785198131,0.00020578701216781615,-2.0887644585333206e-06,4.359756304154111e-08
0.22,0.10449823546109135,0.00021538632358578396,-2.286736635855519e-06,4.377160321323636e-08
0.23,0.10470744106261769,0.00022496838802753638,-2.49315902917336e-06,4.394634525756325e-08
0.24,0.10491706549332395,0.00023453332576214275,-2.707970478642595e-06,4.412179195153786e-08
0.25,0.10512710959164681,0.0002440812566538916,-2.931110572565905e-06,4.429794608366183e-08
0.26,0.10533757419769933,0.00025361230016456417,-3.1625196404236515e-06,4.44748104539703e-08
0.27,0.1055484601532744,0.0002631265753556978,-3.402138745976524e-06,4.4652387874059746e-08
0.28,0.10575976830184808,0.00027262420089083946,-3.649909680439369e-06,4.4830681167133464e-08
0.29,0.10597149948858299,0.0002821052950377895,-3.905774955725516e-06,4.500969316805317e-08
0.3,0.10618365456033177,0.00029156997567083507,-4.169677797760895e-06,4.5189426723379106e-08
0.31,0.10639623436564045,0.0003010183602729744,-4.4415621398672795e-06,4.536988469140155e-08
0.32,0.10660923975475187,0.00031045056593813087,-4.721372616213959e-06,4.555106994219599e-08
0.33,0.10682267157960909,0.00031986670937335783,-5.009054555337183e-06,4.573298535766395e-08
0.34,0.10703653069385885,0.0003292669069010336,-5.304553973726713e-06,4.591563383157387e-08
0.35000000000000003,0.10725081795285499,0.0003386512744610469,-5.607817569478819e-06,4.609901826961118e-08
0.36,0.10746553421366188,0.0003480199276129733,-5.91879271601507e-06,4.6283141589410795e-08
0.37,0.10768068033505789,0.00035737298153824153,-6.237427455866291e-06,4.646800672061347e-08
0.38,0.10789625717753881,0.00036671055104229135,-6.563670494521025e-06,4.665361660490773e-08
0.39,0.10811226560332138,0.0003760327505567214,-6.897471194337884e-06,4.683997419606581e-08
0.4,0.10832870647634665,0.0003853396941414284,-7.23877956852117e-06,4.7027082459997906e-08
0.41000000000000003,0.10854558066228356,0.0003946314954867369,-7.587546275159127e-06,4.7214944374797506e-08
0.42,0.10876288902853236,0.00040390826791552014,-7.943722611324236e-06,4.74035629307842e-08
0.43,0.1089806324442281,0.00041317012438531176,-8.307260507234926e-06,4.7592941130546424e-08
0.44,0.10919881178024417,0.0004224171774904089,-8.678112520478128e-06,4.7783081988993626e-08
0.45,0.10941742790919573,0.0004316495394639659,-9.056231830292035e-06,4.797398853339654e-08
0.46,0.10963648170544327,0.0004408673221800797,-9.44157223190854e-06,4.816566380343366e-08
0.47000000000000003,0.10985597404509609,0.00045007063715586616,-9.834088130954709e-06,4.835811085125021e-08
0.48,0.11007590580601587,0.0004592595955535277,-1.0233734537912759e-05,4.8551332741486854e-08
0.49,0.11029627786782012,0.00046843430818241264,-1.0640467062637946e-05,4.8745332551336e-08
0.5,0.11051709111188579,0.0004775948855010654,-1.1054241908933814e-05,4.8940113370592267e-08
0.51,0.11073834642135276,0.00048674143761926874,-1.1475015869184226e-05,4.9135678301691e-08
0.52,0.1109600446811274,0.0004958740743000773,-1.1902746319041654e-05,4.9332030459762176e-08
0.53,0.11118218677788612,0.0005049929049618424,-1.2337391212171145e-05,4.952917297267854e-08
0.54,0.11140477360007894,0.0005140980386802296,-1.2778909075049459e-05,4.972710898110696e-08
0.55,0.11162780603793308,0.0005231895841902264,-1.3227259001818804e-05,4.992584163854467e-08
0.56,0.11185128498345646,0.000532267649888143,-1.3682400649194673e-05,5.0125374111377197e-08
0.5700000000000001,0.11207521133044136,0.0005413323438336041,-1.4144294231427231e-05,5.0325709578930496e-08
0.58,0.11229958597446796,0.0005503837737515336,-1.4612900515315743e-05,5.052685123351081e-08
0.59,0.11252440981290794,0.00055942204703413,-1.5088180815275532e-05,5.072880228046345e-08
0.6,0.11274968374492812,0.0005684472707428344,-1.557009698845694e-05,5.093156593820988e-08
0.61,0.112975408671494,0.000577459551610291,-1.6058611429915813e-05,5.1135145438310186e-08
0.62,0.11320158549537343,0.0005864589960422986,-1.655368706783499e-05,5.133954402550995e-08
