t,x,y,z,speed_proxy
0.0,-1.48,-1.51,2.04,0.007459160607482674
0.01,-1.5042927386392173,-1.5549103524992793,2.109656899839713,0.007778266150699124
0.02,-1.5306227855349526,-1.6039226861078757,2.1804596996357324,0.008464990043578502
0.03,-1.5590237306671073,-1.6570988117443444,2.2525624542561764,0.009229747580333344
0.04,-1.5895469128724389,-1.7145162234020543,2.3261168554764606,0.010078784519239114
0.05,-1.622262355871642,-1.7762679609544851,2.4012726698962865,0.011019478320426913
0.06,-1.657259865314577,-1.842462497525898,2.4781780940979536,0.012060412596249709
0.07,-1.6946503016807284,-1.9132236435195713,2.556980013010447,0.013211469323435851
0.08,-1.734567044124892,-1.9886904566072585,2.637824144412496,0.014483939129118658
0.09,-1.7771676605591897,-2.069017143665749,2.720855048669942,0.015890649861831276
0.1,-1.8226357992993387,-2.1543729366285067,2.8062159780130513,0.017446113417332536
0.11,-1.8711833173303147,-2.244941919296282,2.8940485337395914,0.019166690346704325
0.12,-1.923052659474693,-2.3409227760704177,2.9844920924634675,0.021070771049123006
0.13,-1.97851950122752,-2.442528426032501,3.077682953657687,0.023178971235671506
0.14,-2.0378956654281106,-2.5499854964249713,3.1737531499587246,0.02551433770025375
0.15,-2.1015323188428465,-2.6635335779418656,3.2728288486513355,0.028102558061795145
0.16,-2.169823448571722,-2.783424189778022,3.375028257032633,0.030972164807095852
0.17,-2.2432096092306066,-2.909919364464361,3.4804589255102942,0.034154719360705424
0.18,-2.3221819191457653,-3.0432897403754615,3.589214319837498,0.03768495566051507
0.19,-2.4072862660919805,-3.1838120225500037,3.701369507334788,0.04160085437684625
0.2,-2.4991276588248725,-3.33176563911321,3.8169757708432526,0.045943607970992534
0.21,-2.59837462778379,-3.4874283800368917,3.936053928156249,0.0507574227187186
0.22,-2.7057635343344675,-3.6510707560815248,4.0585860936879286,0.05608908616197324
0.23,-2.822102589630066,-3.8229487574676106,4.1845055734813545,0.06198720696024883
0.24,-2.948275307759123,-4.003294623305867,4.31368453537065,0.06850100906182881
0.25,-3.0852430187656616,-4.1923051538244165,4.445919045345304,0.07567853475215736
0.26,-3.234045940156071,-4.390127008759789,4.580911012786542,0.08356408442940927
0.27,-3.3958021449971545,-4.596838339507638,4.718246547652642,0.09219470071462435
0.28,-3.5717035650757456,-4.812426005216895,4.85737021191622,0.10159550097720968
0.29,-3.7630079242819536,-5.036757533849467,4.997554660707595,0.11177369237688353
0.3,-3.9710252085567226,-5.269546924777828,5.137865237638518,0.12271119306202201
0.31,-4.197096948010516,-5.51031337558111,5.277119244459376,0.13435596985053477
0.32,-4.442566227408791,-5.7583320909445685,5.413839889151015,0.14661253711896025
0.33,-4.708735982109094,-6.012576551165959,5.546205382552622,0.15933260485238174
0.34,-4.996812830798874,-6.271652056924752,5.6719943672570245,0.1723076771216383
0.35000000000000003,-5.3078335317277245,-6.533721122417228,5.7885298971664705,0.1852665218643132
0.36,-5.642571259596428,-6.796422475930811,5.892625612619898,0.1978818210290036
0.37,-6.001419476336189,-7.0567871671545,5.980539621921506,0.20979177438015642
0.38,-6.384252460350557,-7.311157675195606,6.047943894243058,0.2206435102933281
0.39,-6.790263859759907,-7.555118991729177,6.089919567662212,0.2301650031412862
0.4,-7.217788238494769,-7.783454303810848,6.100991172376273,0.23826951115964073
0.41000000000000003,-7.664115685033876,-7.990141751752377,6.07521479409326,0.2451897288148515
0.42,-8.125316090931653,-8.168412050756865,6.006335769060085,0.2516265454522776
0.43,-8.596097143448723,-8.310888348475178,5.888029421612437,0.2588795848673699
0.44,-9.069727166883041,-8.409827925661705,5.714232303771239,0.26890675978345374
0.45,-9.538058590158183,-8.457478437499265,5.479560306688497,0.28424580932439514
0.46,-9.991687183433102,-8.446547932883272,5.179793713987306,0.30773469800090203
0.47000000000000003,-10.420273324225157,-8.370767747473439,4.812389255732303,0.34200306462573493
0.48,-10.813032469581053,-8.225502675927252,4.376959251720813,0.38877889249110864
0.49,-11.159373311377394,-8.008338576780243,3.875643892687126,0.44814978580609244
0.5,-11.449628172801933,-7.719561122430214,3.3133013187789837,0.517999508354908
0.51,-11.675789335121465,-7.362438543232217,2.6974564413438973,0.5938572292892164
0.52,-11.832147391709073,-6.943240859649414,2.037983784233376,0.6693132350969541
0.53,-11.915731832884031,-6.470967185993233,1.3465458753263826,0.7369808671965399
0.54,-11.92648234805886,-5.956802980984996,0.6358551537815599,0.7897861039339935
0.55,-11.8671260994792,-5.413377292122583,-0.08113949435379253,0.8222363880409018
0.56,-11.74278899459589,-4.853922599628238,-0.7920304048244183,0.8313244193687235
0.5700000000000001,-11.560413194170527,-4.291448519673965,-1.4855969343440347,0.8168573732543694
0.58,-11.328077758700706,-3.7380252845064654,-2.1522573219025167,0.7811988592778587
0.59,-11.05432077912252,-3.2042408787289953,-2.784306081926042,0.7285805661387174
0.6,-10.747543349002722,-2.6988578757145087,-3.3759538366544763,0.6642230617603851
0.61,-10.415546729876949,-2.2286624183947943,-3.923211973026754,0.593492889435113
0.62,-10.065223197079863,-1.7984745927637507,-4.423675513343106,0.5212487594720628
0.63,-9.702395236071663,-1.4112782595125934,-4.8762561071464585,0.4514384574812915
0.64,-9.331780425466858,-1.0684273942002198,-5.280907464779437,0.3869341377134392
0.65,-8.957050810244887,-0.7698916452614359,-5.638372534473771,0.3295512175377105
0.66,-8.580954186015967,-0.5145125807676778,-5.9499689027377665,0.28018321086250647
0.67,-8.205468078078848,-0.30025122210579014,-6.2174183988904375,0.23899169859208808
0.68,-7.831963015290535,-0.1244153215986526,-6.442719497798303,0.20560656085869355
0.6900000000000001,-7.461358218420984,0.016139241374150515,-6.6280567249313425,0.17930875904152552
0.7000000000000001,-7.094258929430385,0.12483461342314113,-6.775739298655511,0.1591821402401159
0.71,-6.731069724287836,0.20522400832104207,-6.888160987114494,0.14423057299659592
0.72,-6.372082079384921,0.2608698246124789,-6.967773958447609,0.13346251399836323
0.73,-6.0175372312693955,0.29524462347747726,-7.017070747207358,0.1259478510737688
0.74,-5.667667128846303,0.3116527463817011,-7.03856997958816,0.12085265476350865
0.75,-5.322717218275235,0.31317050684710573,-7.034802958074811,0.11745718420769215
0.76,-4.982955119323728,0.3026030601260653,-7.008299465469625,0.11516173776338906
0.77,-4.648669127578505,0.28245617061556055,-6.961572144672906,0.11348406882341219
0.78,-4.320160064660646,0.25492114437899616,-6.89709952968502,0.11205127567087
0.79,-3.9977294258991614,0.22187118925300642,-6.817308263211238,0.1105883829313852
0.8,-3.6816661415124994,0.18486743751244478,-6.7245552745425075,0.10890526700876058
0.81,-3.3722336464314684,0.1451728469304353,-6.621110755102406,0.10688312314556787
0.8200000000000001,-3.0696583944338576,0.10377220978632867,-6.509142707272058,0.10446130854359116
0.8300000000000001,-2.7741204821971133,0.06139656040714439,-6.390703700609061,0.10162510891799821
0.84,-2.4857466790922955,0.01855038423371557,-6.267720287417672,0.09839475359448724
0.85,-2.204605887190495,-0.02445980952483051,-6.141985337405817,0.09481583776463487
0.86,-1.930706872734032,-0.06749679464239364,-6.015153370693047,0.09095119138965582
