t,x,y,z,speed_proxy
0.0,1.0,1.0,1.0,0.04866000724448159
0.01,1.010630523236574,1.2198008518074104,0.9846838397457105,0.04952934650133293
0.02,1.0412612555377703,1.4423165898040073,0.9722343885186718,0.052809606441409515
0.03,1.0904609564957295,1.6719025159482634,0.9630132843221673,0.05871457306838412
0.04,1.1573330599664375,1.9126032115158162,0.957533302534853,0.06730270717780215
0.05,1.2414406917678302,2.168262380748118,0.9564686021873897,0.07882533576429855
0.06,1.3427483999634855,2.442615116603785,0.960675788174515,0.093709137785028
0.07,1.461577474782245,2.739365341223918,0.971225174958644,0.11255528256682681
0.08,1.5985722520501513,3.062250302982436,0.9894424837153838,0.13615154289307413
0.09,1.7546751792492248,3.41509314378366,1.0169618566951437,0.16549524656431217
0.1,1.9311086875388006,3.801843637713468,1.0557915948713277,0.20182590019425548
0.11,2.129362060933982,4.226606189131266,1.1083944477173244,0.2466668549357949
0.12,2.351181523750906,4.693652999262708,1.1777846056261814,0.3018755407160806
0.13,2.5985616712616912,5.207418890087795,1.267643730839747,0.36970155784365993
0.14,2.8737361312970666,5.772472529036595,1.382458335463132,0.4528511993746171
0.15,3.1791649445358465,6.393456639936936,1.5276804445833871,0.5545556305696147
0.16,3.5175155606087793,7.07498713418595,1.7099125643962205,0.6786377439598223
0.17,3.8916335342744888,7.821497900436958,1.9371162060706173,0.8295693364256267
0.18,4.304497940354312,8.637014271916556,2.218840163044294,1.0125053604110554
0.19,4.759155188461541,9.524834111534581,2.5664598110467662,1.2332752353307619
0.2,5.258623318240899,10.487091438352593,2.993411129985239,1.4983023697625195
0.21,5.805757060839323,11.524174420344746,3.515392015870838,1.8144123768812954
0.22,6.403062136251456,12.633968913094307,4.150487794602766,2.188479128930527
0.23,7.05244576750299,13.81090305791279,4.919156925863097,2.6268486484763054
0.24,7.754889848224509,15.044781603220901,5.8439867181842065,3.1344794425819584
0.25,8.510034595454766,16.31942591001031,6.949099210624547,3.7137535440621376
0.26,9.315665326621549,17.61118359106662,8.25905916410888,4.362958513731147
0.27,10.16710518600651,18.887446878315416,9.797119473754426,5.074532214385648
0.28,11.056534486566113,20.1054243770095,11.582651546943387,5.833309721907026
0.29,11.97228482089071,21.211541157838234,13.627674414401637,6.615206998997971
0.3,12.898193722863496,22.14197402600647,15.932546348030275,7.386971271691907
0.31,13.813150449264988,22.824912596204697,18.48114033340232,8.107717920623205
0.32,14.691006494155165,23.18509271624591,21.236186366702306,8.73280134317345
0.33,15.501049077787814,23.150880262590046,24.13586832624122,9.219989377089632
0.34,16.209218569735757,22.663619636584617,27.093067399223656,9.536936242628801
0.35000000000000003,16.78016776629701,21.688130770791975,29.998629132846432,9.667894333771098
0.36,17.180101271287437,20.22234394047688,32.729479120390394,9.617107727128568
0.37,17.380115742931523,18.303490860158682,35.16125501597942,9.407037671797042
0.38,17.359544752418945,16.008467013134656,37.18359990517839,9.071557938487858
0.39,17.108682471302057,13.447174665543029,38.7149501001021,8.646631918401864
0.4,16.630297415127462,10.74960355891024,39.71324042598042,8.162254053720167
0.41000000000000003,15.939573990767002,8.049367893626576,40.17983358648406,7.6386389504812335
0.42,15.062475137855568,5.467508752130769,40.1559181428448,7.087243035470909
0.43,14.032879704754171,3.1000884476174675,39.712798248547585,6.514817590589947
0.44,12.889086233130364,1.0116429034568868,38.93899145244848,5.927752851239443
